,0,1,2,3,4
64,"Arsenal have completed the signing of Jakub Kiwior, here we go! Contracts are being signed with Spezia, fee in excess of €20m with add-ons. 🚨⚪️🔴 #AFC

Understand Kiwior has agreed personal terms on five year deal — medical will be completed in the next 48 hours.

It’s done. https://t.co/pHnAZP4gce",91316,2023-01-20 12:31:35+00:00,https://t.co/j73mHIKipN,['http://pbs.twimg.com/media/Fm6nKzcWIAEKFbW.jpg']
65,"Arsenal are closing in on deal to sign Polish centre back Jakub Kiwior from Spezia, here we go soon! Fee in excess of €20m, medical tests could take place this week 🚨⚪️🔴🇵🇱 #AFC

Deal very advanced, as per @wlodar85 — all parties hope to get it sealed soon. https://t.co/BPk9wUamlA",46926,2023-01-20 12:01:43+00:00,https://t.co/N6EeDCQICP,['http://pbs.twimg.com/media/Fm6gVQmWIAQxl9-.jpg']
66,"Dango Ouattara to Bournemouth, it’s finally signed and official — here we go confirmed. Fee around €23m fixed plus add ons. 🚨🔴🍒 #Bournemouth

Ouattara signs contract valid until June 2028. https://t.co/2NnP1PNeiM",16035,2023-01-19 21:40:25+00:00,https://t.co/mVxODeLYqn,['http://pbs.twimg.com/media/Fm3bMIFXEAAFN1m.jpg']
67,"Besiktas are now set to complete the signing Vincent Aboubakar from Al Nassr, confirmed and here we go ⚪️⚫️🇨🇲 #transfers

Contract will be valid until June 2025 as agreed two weeks ago — he will replace Weghorst who joined Man Utd. https://t.co/kGFk5DN3kt",43017,2023-01-19 18:45:02+00:00,https://t.co/rN7Reb7ZUq,['http://pbs.twimg.com/media/Fm2zC-mWAAkXo5L.jpg']
68,"Chris Wood to Nottingham Forest, here we go confirmed. Deal agreed now with Newcastle on loan deal, it will include an obligation to buy clause. 🚨🌳 #NFFC

Wood will undergo medical tests and sign the contract in the next hours. https://t.co/2iNqjyVwl6",22795,2023-01-19 17:46:25+00:00,https://t.co/Zdo1l53dEI,['http://pbs.twimg.com/media/Fm2ln8jXwCIUfXE.jpg']
69,"Noni Madueke to Chelsea, here we go! Verbal agreement in place with PSV on permanent deal around €35m package. 🚨🔵 #CFC

Madueke will sign long term deal in few days, strongly wanted by Chelsea board.

Contracts being prepared.

Boarding completed - ✈️ London
@TurkishAirlines https://t.co/Sdg2JMXJIa",69519,2023-01-19 16:48:01+00:00,https://t.co/sbVrHN2zMC,['http://pbs.twimg.com/media/Fm2YRFwXoAAzPC1.jpg']
70,"Fast deal as expected, Arsenal have moved very quickly during last night to get deal done among many contenders — it’s now done and here we go ⚪️🔴 #AFC

Exclusive story from today morning ⤵️ https://t.co/KBUO2GqFPU",23724,2023-01-19 16:18:09+00:00,https://t.co/6M2zdD2KYp,[]
71,"Leandro Trossard to Arsenal, here we go! Full agreement reached between clubs w/Brighton for £27m — personal terms agreed. Exclusive news confirmed 🚨⚪️🔴 #AFC

Trossard will sign his Arsenal contract soon — medical tests will take place in London. Contracts to be prepared soon. https://t.co/O1IrrAFkVo",128601,2023-01-19 16:07:55+00:00,https://t.co/vBk0Bi0dKl,['http://pbs.twimg.com/media/Fm2PF_iX0AIq5r8.jpg']
72,"West Ham have reached full agreement to sign Danny Ings from Aston Villa, full package close £15m add-ons included. Personal terms almost agreed, here we go 🚨🛠️ #WHUFC

Medical tests scheduled in order to get the deal signed soon. https://t.co/0G8mMEOihy",26229,2023-01-19 09:55:15+00:00,https://t.co/UUh3MFESDn,['http://pbs.twimg.com/media/Fm05y2PWAAET-IC.jpg']
73,"Memphis Depay to Atlético Madrid, here we go! Agreement sealed on fee around €3/4m to Barcelona, Depay is set to travel to Madrid for medicals soon 🚨⚪️🔴 #Atléti

Memphis will sign a contract valid until June 2028. https://t.co/NvkEp4AD9N",82188,2023-01-18 18:10:49+00:00,https://t.co/99TPoRuo67,['http://pbs.twimg.com/media/FmxhovnWQBQ1chI.jpg']
